district_id,district_name,state_name,state_abbreviation,county_name,county_fips,district_city,district_zip,district_type,operational_schools,district_location_label,total_students,students_per_psychologist,students_per_guidance_counselor,school_support_pressure_rank,hpsa_designation_count,avg_hpsa_score,max_hpsa_score,provider_shortage_pressure_rank,local_overlap_score,jackson_county_focus,jackson_county_flag,display_label
4103690,Creswell SD 40,OREGON,OR,Lane County,41039,Creswell,97426,Regular public school district that is not a component of a supervisory union,3,"Creswell, Oregon 97426",1099.0,1099.0,366.3,35.5,7,16.86,21,14,24.75,Other Oregon County,0,Creswell SD 40 | Lane County
4105160,Forest Grove SD 15,OREGON,OR,Washington County,41067,Forest Grove,97116,Regular public school district that is not a component of a supervisory union,11,"Forest Grove, Oregon 97116",5712.0,1337.7,187.3,48.5,2,22.0,23,1,24.75,Other Oregon County,0,Forest Grove SD 15 | Washington County
4103660,Coos Bay SD 9,OREGON,OR,Coos County,41011,Coos Bay,97420,Regular public school district that is not a component of a supervisory union,9,"Coos Bay, Oregon 97420",2982.0,994.0,596.4,28.5,4,16.0,22,22,25.25,Other Oregon County,0,Coos Bay SD 9 | Coos County
4103260,Clatskanie SD 6J,OREGON,OR,Clatsop County,41007,Clatskanie,97016,Regular public school district that is not a component of a supervisory union,2,"Clatskanie, Oregon 97016",696.0,696.0,696.0,35.5,5,16.8,18,16,25.75,Other Oregon County,0,Clatskanie SD 6J | Clatsop County
4106000,Gresham-Barlow SD 10J,OREGON,OR,Multnomah County,41051,Gresham,97030,Regular public school district that is not a component of a supervisory union,21,"Gresham, Oregon 97030",11452.0,1764.6,288.8,33.5,16,16.5,21,18,25.75,Other Oregon County,0,Gresham-Barlow SD 10J | Multnomah County
4109330,Oregon City SD 62,OREGON,OR,Clackamas County,41005,Oregon City,97045,Regular public school district that is not a component of a supervisory union,14,"Oregon City, Oregon 97045",7247.0,1207.8,455.8,27.0,4,15.75,18,25,26.0,Other Oregon County,0,Oregon City SD 62 | Clackamas County
4101920,Beaverton SD 48J,OREGON,OR,Washington County,41067,Beaverton,97006,Regular public school district that is not a component of a supervisory union,56,"Beaverton, Oregon 97006",37891.0,852.2,287.5,51.5,2,22.0,23,1,26.25,Other Oregon County,0,Beaverton SD 48J | Washington County
4110410,Reedsport SD 105,OREGON,OR,Douglas County,41019,Reedsport,97467,Independent charter district,1,"Reedsport, Oregon 97467",550.0,550.0,550.0,40.5,10,17.2,22,12,26.25,Other Oregon County,0,Reedsport SD 105 | Douglas County
4108010,McMinnville SD 40,OREGON,OR,Yamhill County,41071,McMinnville,97128,Regular public school district that is not a component of a supervisory union,9,"McMinnville, Oregon 97128",6301.0,2250.4,354.0,24.0,2,15.0,18,29,26.5,Other Oregon County,0,McMinnville SD 40 | Yamhill County
4101710,Baker SD 5J,OREGON,OR,Union County,41061,Baker City,97814,Regular public school district that is not a component of a supervisory union,12,"Baker City, Oregon 97814",5201.0,2600.5,161.3,39.0,6,16.83,18,15,27.0,Other Oregon County,0,Baker SD 5J | Union County
4110890,Oregon Trail SD 46,OREGON,OR,Clackamas County,41005,Sandy,97055,Regular public school district that is not a component of a supervisory union,10,"Sandy, Oregon 97055",4222.0,1196.0,383.8,29.5,4,15.75,18,25,27.25,Other Oregon County,0,Oregon Trail SD 46 | Clackamas County
4105430,Gaston SD 511J,OREGON,OR,Washington County,41067,Gaston,97119,Regular public school district that is not a component of a supervisory union,2,"Gaston, Oregon 97119",477.0,954.0,238.5,54.5,2,22.0,23,1,27.75,Other Oregon County,0,Gaston SD 511J | Washington County
4105610,Gladstone SD 115,OREGON,OR,Clackamas County,41005,Gladstone,97027,Regular public school district that is not a component of a supervisory union,4,"Gladstone, Oregon 97027",1618.0,1618.0,323.6,30.5,4,15.75,18,25,27.75,Other Oregon County,0,Gladstone SD 115 | Clackamas County
4112240,Tigard-Tualatin SD 23J,OREGON,OR,Clackamas County,41005,Tigard,97223,Regular public school district that is not a component of a supervisory union,19,"Tigard, Oregon 97223",11433.0,1874.3,302.8,31.0,4,15.75,18,25,28.0,Other Oregon County,0,Tigard-Tualatin SD 23J | Clackamas County
4104700,Estacada SD 108,OREGON,OR,Clackamas County,41005,Estacada,97023,Regular public school district that is not a component of a supervisory union,5,"Estacada, Oregon 97023",3316.0,1105.3,379.4,31.5,4,15.75,18,25,28.25,Other Oregon County,0,Estacada SD 108 | Clackamas County
4104950,Fern Ridge SD 28J,OREGON,OR,Douglas County,41019,Elmira,97437,Regular public school district that is not a component of a supervisory union,5,"Elmira, Oregon 97437",1401.0,1401.0,233.5,45.0,10,17.2,22,12,28.5,Other Oregon County,0,Fern Ridge SD 28J | Douglas County
4111290,Sherwood SD 88J,OREGON,OR,Clackamas County,41005,Sherwood,97140,Regular public school district that is not a component of a supervisory union,7,"Sherwood, Oregon 97140",4803.0,1200.8,369.5,32.0,4,15.75,18,25,28.5,Other Oregon County,0,Sherwood SD 88J | Clackamas County
4102800,Centennial SD 28J,OREGON,OR,Multnomah County,41051,Portland,97236,Regular public school district that is not a component of a supervisory union,9,"Portland, Oregon 97236",5451.0,939.8,368.3,39.5,16,16.5,21,18,28.75,Other Oregon County,0,Centennial SD 28J | Multnomah County
4106000,Gresham-Barlow SD 10J,OREGON,OR,Clackamas County,41005,Gresham,97030,Regular public school district that is not a component of a supervisory union,21,"Gresham, Oregon 97030",11452.0,1764.6,288.8,33.5,4,15.75,18,25,29.25,Other Oregon County,0,Gresham-Barlow SD 10J | Clackamas County
4108720,Newberg SD 29J,OREGON,OR,Washington County,41067,Newberg,97132,Regular public school district that is not a component of a supervisory union,10,"Newberg, Oregon 97132",4033.0,711.3,270.7,57.5,2,22.0,23,1,29.25,Other Oregon County,0,Newberg SD 29J | Washington County
4110040,Portland SD 1J,OREGON,OR,Washington County,41067,Portland,97227,Regular public school district that is not a component of a supervisory union,86,"Portland, Oregon 97227",43357.0,655.6,277.9,57.5,2,22.0,23,1,29.25,Other Oregon County,0,Portland SD 1J | Washington County
4104950,Fern Ridge SD 28J,OREGON,OR,Lane County,41039,Elmira,97437,Regular public school district that is not a component of a supervisory union,5,"Elmira, Oregon 97437",1401.0,1401.0,233.5,45.0,7,16.86,21,14,29.5,Other Oregon County,0,Fern Ridge SD 28J | Lane County
4100023,Hillsboro SD 1J,OREGON,OR,Multnomah County,41051,Hillsboro,97124,Regular public school district that is not a component of a supervisory union,37,"Hillsboro, Oregon 97124",18781.0,1490.6,267.0,41.0,16,16.5,21,18,29.5,Other Oregon County,0,Hillsboro SD 1J | Multnomah County
4106510,Hood River County SD,OREGON,OR,Hood River County,41027,Hood River,97031,Regular public school district that is not a component of a supervisory union,8,"Hood River, Oregon 97031",3799.0,949.8,199.9,57.0,2,19.5,21,4,30.5,Other Oregon County,0,Hood River County SD | Hood River County
4100015,Gervais SD 1,OREGON,OR,Marion County,41047,Gervais,97026,Regular public school district that is not a component of a supervisory union,4,"Gervais, Oregon 97026",1249.0,1249.0,277.6,43.0,10,16.3,21,20,31.5,Other Oregon County,0,Gervais SD 1 | Marion County
4111490,Sisters SD 6,OREGON,OR,Deschutes County,41017,Sisters,97759,Regular public school district that is not a component of a supervisory union,3,"Sisters, Oregon 97759",1163.0,1453.8,290.8,36.5,2,15.5,16,27,31.75,Other Oregon County,0,Sisters SD 6 | Deschutes County
4107230,Lake Oswego SD 7J,OREGON,OR,Multnomah County,41051,Lake Oswego,97034,Regular public school district that is not a component of a supervisory union,12,"Lake Oswego, Oregon 97034",6882.0,860.3,332.5,46.0,16,16.5,21,18,32.0,Other Oregon County,0,Lake Oswego SD 7J | Multnomah County
4102640,Canby SD 86,OREGON,OR,Clackamas County,41005,Canby,97013,Regular public school district that is not a component of a supervisory union,8,"Canby, Oregon 97013",4160.0,832.0,375.8,39.5,4,15.75,18,25,32.25,Other Oregon County,0,Canby SD 86 | Clackamas County
4102800,Centennial SD 28J,OREGON,OR,Clackamas County,41005,Portland,97236,Regular public school district that is not a component of a supervisory union,9,"Portland, Oregon 97236",5451.0,939.8,368.3,39.5,4,15.75,18,25,32.25,Other Oregon County,0,Centennial SD 28J | Clackamas County
4113170,West Linn-Wilsonville SD 3J,OREGON,OR,Clackamas County,41005,Tualatin,97062,Regular public school district that is not a component of a supervisory union,17,"Tualatin, Oregon 97062",8880.0,1138.5,322.9,39.5,4,15.75,18,25,32.25,Other Oregon County,0,West Linn-Wilsonville SD 3J | Clackamas County
4104740,Eugene SD 4J,OREGON,OR,Lane County,41039,Eugene,97402,Regular public school district that is not a component of a supervisory union,36,"Eugene, Oregon 97402",15943.0,755.2,299.3,51.5,7,16.86,21,14,32.75,Other Oregon County,0,Eugene SD 4J | Lane County
4110520,Reynolds SD 7,OREGON,OR,Multnomah County,41051,Fairview,97024,Regular public school district that is not a component of a supervisory union,20,"Fairview, Oregon 97024",9762.0,1122.1,269.5,48.0,16,16.5,21,18,33.0,Other Oregon County,0,Reynolds SD 7 | Multnomah County
4113530,Woodburn SD 103,OREGON,OR,Marion County,41047,Woodburn,97071,Regular public school district that is not a component of a supervisory union,9,"Woodburn, Oregon 97071",5272.0,878.7,293.5,48.5,10,16.3,21,20,34.25,Other Oregon County,0,Woodburn SD 103 | Marion County
4101920,Beaverton SD 48J,OREGON,OR,Multnomah County,41051,Beaverton,97006,Regular public school district that is not a component of a supervisory union,56,"Beaverton, Oregon 97006",37891.0,852.2,287.5,51.5,16,16.5,21,18,34.75,Other Oregon County,0,Beaverton SD 48J | Multnomah County
4110710,Douglas County SD 4,OREGON,OR,Douglas County,41019,Roseburg,97471,Regular public school district that is not a component of a supervisory union,13,"Roseburg, Oregon 97471",5550.0,660.7,276.8,58.0,10,17.2,22,12,35.0,Other Oregon County,0,Douglas County SD 4 | Douglas County
4107230,Lake Oswego SD 7J,OREGON,OR,Clackamas County,41005,Lake Oswego,97034,Regular public school district that is not a component of a supervisory union,12,"Lake Oswego, Oregon 97034",6882.0,860.3,332.5,46.0,4,15.75,18,25,35.5,Other Oregon County,0,Lake Oswego SD 7J | Clackamas County
4103260,Clatskanie SD 6J,OREGON,OR,Columbia County,41009,Clatskanie,97016,Regular public school district that is not a component of a supervisory union,2,"Clatskanie, Oregon 97016",696.0,696.0,696.0,35.5,3,13.0,16,36,35.75,Other Oregon County,0,Clatskanie SD 6J | Columbia County
4108830,North Clackamas SD 12,OREGON,OR,Clackamas County,41005,Milwaukie,97222,Regular public school district that is not a component of a supervisory union,31,"Milwaukie, Oregon 97222",16982.0,776.1,345.2,46.5,4,15.75,18,25,35.75,Other Oregon County,0,North Clackamas SD 12 | Clackamas County
4108880,North Marion SD 15,OREGON,OR,Marion County,41047,Aurora,97002,Regular public school district that is not a component of a supervisory union,4,"Aurora, Oregon 97002",1604.0,583.3,320.8,53.0,10,16.3,21,20,36.5,Other Oregon County,0,North Marion SD 15 | Marion County
4106930,Junction City SD 69,OREGON,OR,Lane County,41039,Junction City,97448,Regular public school district that is not a component of a supervisory union,4,"Junction City, Oregon 97448",1580.0,790.0,210.1,59.5,7,16.86,21,14,36.75,Other Oregon County,0,Junction City SD 69 | Lane County
4108310,Molalla River SD 35,OREGON,OR,Clackamas County,41005,Molalla,97038,Regular public school district that is not a component of a supervisory union,7,"Molalla, Oregon 97038",2598.0,1039.2,273.5,49.0,4,15.75,18,25,37.0,Other Oregon County,0,Molalla River SD 35 | Clackamas County
4101980,Bend-LaPine Administrative SD 1,OREGON,OR,Deschutes County,41017,Bend,97703,Regular public school district that is not a component of a supervisory union,35,"Bend, Oregon 97703",16878.0,1308.4,208.4,47.5,2,15.5,16,27,37.25,Other Oregon County,0,Bend-LaPine Administrative SD 1 | Deschutes County
4110040,Portland SD 1J,OREGON,OR,Multnomah County,41051,Portland,97227,Regular public school district that is not a component of a supervisory union,86,"Portland, Oregon 97227",43357.0,655.6,277.9,57.5,16,16.5,21,18,37.75,Other Oregon County,0,Portland SD 1J | Multnomah County
4112930,Vernonia SD 47J,OREGON,OR,Columbia County,41009,Vernonia,97064,Regular public school district that is not a component of a supervisory union,4,"Vernonia, Oregon 97064",566.0,566.0,566.0,39.5,3,13.0,16,36,37.75,Other Oregon County,0,Vernonia SD 47J | Columbia County
4111720,St Helens SD 502,OREGON,OR,Columbia County,41009,St Helens,97051,Regular public school district that is not a component of a supervisory union,8,"St Helens, Oregon 97051",2863.0,1250.2,286.3,41.0,3,13.0,16,36,38.5,Other Oregon County,0,St Helens SD 502 | Columbia County
4110350,Redmond SD 2J,OREGON,OR,Jefferson County,41031,Redmond,97756,Regular public school district that is not a component of a supervisory union,13,"Redmond, Oregon 97756",7141.0,1000.1,251.5,51.5,3,15.67,17,26,38.75,Other Oregon County,0,Redmond SD 2J | Jefferson County
4110350,Redmond SD 2J,OREGON,OR,Deschutes County,41017,Redmond,97756,Regular public school district that is not a component of a supervisory union,13,"Redmond, Oregon 97756",7141.0,1000.1,251.5,51.5,2,15.5,16,27,39.25,Other Oregon County,0,Redmond SD 2J | Deschutes County
4108720,Newberg SD 29J,OREGON,OR,Clackamas County,41005,Newberg,97132,Regular public school district that is not a component of a supervisory union,10,"Newberg, Oregon 97132",4033.0,711.3,270.7,57.5,4,15.75,18,25,41.25,Other Oregon County,0,Newberg SD 29J | Clackamas County
4110040,Portland SD 1J,OREGON,OR,Clackamas County,41005,Portland,97227,Regular public school district that is not a component of a supervisory union,86,"Portland, Oregon 97227",43357.0,655.6,277.9,57.5,4,15.75,18,25,41.25,Other Oregon County,0,Portland SD 1J | Clackamas County
4104740,Eugene SD 4J,OREGON,OR,Linn County,41043,Eugene,97402,Regular public school district that is not a component of a supervisory union,36,"Eugene, Oregon 97402",15943.0,755.2,299.3,51.5,2,14.5,16,32,41.75,Other Oregon County,0,Eugene SD 4J | Linn County
4105430,Gaston SD 511J,OREGON,OR,Yamhill County,41071,Gaston,97119,Regular public school district that is not a component of a supervisory union,2,"Gaston, Oregon 97119",477.0,954.0,238.5,54.5,2,15.0,18,29,41.75,Other Oregon County,0,Gaston SD 511J | Yamhill County
4108720,Newberg SD 29J,OREGON,OR,Yamhill County,41071,Newberg,97132,Regular public school district that is not a component of a supervisory union,10,"Newberg, Oregon 97132",4033.0,711.3,270.7,57.5,2,15.0,18,29,43.25,Other Oregon County,0,Newberg SD 29J | Yamhill County
